#AGE=10.000 EEPS=269
#EEP   M/Mo    LogTeff  LogG   LogL/Lo open    gp1     rp1     ip1     zp1     yp1     wp1     
  11  0.103191  3.5170  5.3411 -2.8682 12.3041 14.4218 13.1151 11.9820 11.4672 11.2494 12.7914
  12  0.117023  3.5194  5.2778 -2.7407 11.9762 14.0553 12.7578 11.6544 11.1493 10.9337 12.4525
  13  0.133674  3.5220  5.2127 -2.6071 11.6328 13.6716 12.3837 11.3113 10.8165 10.6033 12.0973
  14  0.154625  3.5260  5.1535 -2.4687 11.2723 13.2581 11.9814 10.9508 10.4715 10.2622 11.7202
  15  0.177881  3.5320  5.1120 -2.3426 10.9358 12.8524 11.5887 10.6141 10.1573  9.9541 11.3606
  16  0.197271  3.5371  5.0842 -2.2496 10.6860 12.5469 11.2935 10.3643  9.9261  9.7286 11.0919
  17  0.212814  3.5407  5.0625 -2.1805 10.5009 12.3235 11.0775 10.1795  9.7544  9.5609 10.8937
  18  0.226632  3.5438  5.0448 -2.1230 10.3470 12.1379 10.8982 10.0259  9.6120  9.4218 10.7289
  19  0.239753  3.5465  5.0292 -2.0720 10.2105 11.9739 10.7398  9.8898  9.4855  9.2984 10.5829
  20  0.253040  3.5491  5.0145 -2.0237 10.0819 11.8204 10.5916  9.7616  9.3662  9.1818 10.4457
  21  0.268545  3.5518  4.9997 -1.9723  9.9451 11.6581 10.4348  9.6253  9.2392  9.0578 10.3001
  22  0.283782  3.5542  4.9860 -1.9248  9.8191 11.5094 10.2911  9.4998  9.1221  8.9433 10.1663
  23  0.296476  3.5562  4.9744 -1.8863  9.7169 11.3890 10.1749  9.3980  9.0271  8.8504 10.0577
  24  0.305725  3.5576  4.9657 -1.8585  9.6435 11.3030 10.0917  9.3250  8.9589  8.7837  9.9799
  25  0.312533  3.5587  4.9596 -1.8388  9.5914 11.2419 10.0326  9.2731  8.9104  8.7364  9.9247
  26  0.317671  3.5594  4.9551 -1.8241  9.5526 11.1964  9.9886  9.2345  8.8744  8.7011  9.8836
  27  0.321665  3.5600  4.9513 -1.8125  9.5221 11.1607  9.9540  9.2041  8.8460  8.6733  9.8512
  28  0.325279  3.5606  4.9481 -1.8022  9.4947 11.1284  9.9229  9.1769  8.8207  8.6486  9.8221
  29  0.328871  3.5612  4.9449 -1.7919  9.4676 11.0963  9.8919  9.1499  8.7956  8.6241  9.7932
  30  0.333071  3.5618  4.9414 -1.7802  9.4367 11.0598  9.8566  9.1191  8.7671  8.5963  9.7603
  31  0.338222  3.5626  4.9372 -1.7661  9.3991 11.0152  9.8136  9.0818  8.7324  8.5625  9.7203
  32  0.345201  3.5638  4.9314 -1.7468  9.3480 10.9545  9.7551  9.0309  8.6854  8.5166  9.6658
  33  0.376905  3.5700  4.8998 -1.6524  9.0964 10.6519  9.4648  8.7813  8.4560  8.2936  9.3963
  34  0.414762  3.5793  4.8557 -1.5293  8.7668 10.2485  9.0814  8.4553  8.1595  8.0064  9.0412
  35  0.427477  3.5829  4.8394 -1.4855  8.6488 10.1019  8.9440  8.3390  8.0542  7.9047  8.9139
  36  0.438173  3.5862  4.8253 -1.4475  8.5464  9.9736  8.8247  8.2382  7.9632  7.8168  8.8032
  37  0.449453  3.5899  4.8106 -1.4069  8.4368  9.8350  8.6971  8.1306  7.8661  7.7233  8.6846
  38  0.462140  3.5944  4.7942 -1.3605  8.3109  9.6742  8.5507  8.0073  7.7552  7.6165  8.5483
  39  0.474996  3.5994  4.7777 -1.3120  8.1794  9.5043  8.3983  7.8789  7.6397  7.5056  8.4060
  40  0.487212  3.6045  4.7624 -1.2652  8.0522  9.3374  8.2519  7.7552  7.5281  7.3985  8.2685
  41  0.498546  3.6096  4.7491 -1.2216  7.9337  9.1798  8.1168  7.6405  7.4242  7.2987  8.1408
  42  0.508405  3.6143  4.7383 -1.1834  7.8299  9.0395  7.9989  7.5403  7.3333  7.2117  8.0288
  43  0.517321  3.6189  4.7289 -1.1484  7.7344  8.9086  7.8908  7.4485  7.2501  7.1321  7.9257
  44  0.526081  3.6236  4.7203 -1.1136  7.6390  8.7762  7.7832  7.3574  7.1675  7.0533  7.8228
  45  0.535172  3.6288  4.7120 -1.0771  7.5386  8.6343  7.6693  7.2618  7.0816  6.9713  7.7140
  46  0.545152  3.6347  4.7038 -1.0371  7.4276  8.4753  7.5436  7.1568  6.9872  6.8815  7.5934
  47  0.556191  3.6416  4.6957 -0.9927  7.3037  8.2956  7.4041  7.0403  6.8825  6.7822  7.4589
  48  0.567498  3.6493  4.6890 -0.9466  7.1736  8.1034  7.2585  6.9190  6.7735  6.6795  7.3175
  49  0.578827  3.6573  4.6835 -0.9003  7.0416  7.9073  7.1123  6.7967  6.6632  6.5760  7.1742
  50  0.590104  3.6654  4.6782 -0.8543  6.9107  7.7153  6.9695  6.6755  6.5530  6.4727  7.0329
  51  0.601264  3.6731  4.6724 -0.8094  6.7835  7.5341  6.8331  6.5571  6.4443  6.3707  6.8967
